Upstr_Src_Sys,Table_Name,Appl_Src_Sys_Cd,Rule_Id,Column_Name,Error_Type,DQ_Error_Metric,Rule_Type_Cd,Down_Stream_Applcbility_Flag,Rule_Desc,Source_System
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50001,HOLD_ACCT_NBR,E,MMF,DQRC1,1,HOLD_ACCT_NBR should not be NULL for PMF else Error,PMF
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50002,HOLD_ACCT_NBR_SUFF,E,MMF,DQRC1,1,HOLD_ACCT_NBR_SUFF should not be NULL for PMF else Error,PMF
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,99999,HOLD_APPL_SYS_CD,E,MMF,DQRC1,1,HOLD_APPL_SYS_CD rule discontinued,COMMON
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50004,CMPNT_SEQ_ID,E,MMF,DQRC1,1,CMPNT_SEQ_ID should not be NULL for PMF else Error,PMF
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50005,CMPNT_MEASURE_TYPE,E,MMF,DQRC1,1,CMPNT_MEASURE_TYPE should not be NULL for PMF else Error,PMF
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50006,CMPNT_MEASURE_AMT,E,MMF,DQRC1,1,CMPNT_MEASURE_AMT should not be NULL for PMF else Error,PMF
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50007,HOLD_ACCT_NBR,E,MMF,DQRC1,1,HOLD_ACCT_NBR should not be NULL for CV15 else Error,CV15
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50008,HOLD_APPL_SYS_CD,E,MMF,DQRC1,1,HOLD_APPL_SYS_CD should not be NULL else Error,COMMON
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50009,CMPNT_SEQ_ID,E,MMF,DQRC1,1,CMPNT_SEQ_ID should not be NULL for CV15 else Error,CV15
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50010,CMPNT_MEASURE_TYPE,E,MMF,DQRC1,1,CMPNT_MEASURE_TYPE should not be NULL for CV15 else Error,CV15
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50011,CMPNT_MEASURE_AMT,E,MMF,DQRC1,1,CMPNT_MEASURE_AMT should not be NULL for CV15 else Error,CV15
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50012,CMPNT_MEASURE_EFF_DT,E,MDT,DQRC2,1,CMPNT_MEASURE_EFF_DT should have valid date format  for PMF else Error,PMF
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50013,BUS_PROC_DT,E,MDT,DQRC2 ,1,BUS_PROC_DT should have valid date format  for PMF else Error,PMF
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50014,CMPNT_MEASURE_EFF_DT,E,MDT,DQRC2,1,CMPNT_MEASURE_EFF_DT should have valid date format  for CV15 else Error,CV15
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50015,BUS_PROC_DT,E,MDT,DQRC2,1,BUS_PROC_DT should have valid date format  for CV15 else Error,CV15
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50016,CMPNT_SEQ_ID,E,MV,DQRC3,1,CMPNT_SEQ_ID should be a valid Integer value for PMF else Error,PMF
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50017,CMPNT_MEASURE_AMT,E,MV,DQRC4,1,CMPNT_MEASURE_AMT should be a valid Decimal value for PMF else Error,PMF
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50018,CMPNT_SEQ_ID,E,MV,DQRC3,1,CMPNT_SEQ_ID should be a valid Integer value for CV15 else Error,CV15
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50019,CMPNT_MEASURE_AMT,E,MV,DQRC4 ,1,CMPNT_MEASURE_AMT should be a valid Decimal value for CV15 else Error,CV15
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50020,PK,E,MI,DQRT1,1,There should not be duplicate records,COMMON
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50021,RI,E,MI,DQRT2,1,There should not be Orphan records,COMMON
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50022,PTE,E,MI,DQRT3,1,There should not be Parent Error,COMMON
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50023,HOLD_APPL_SYS_CD,E,MR,DQRT4,1,Unexpected Reference Data value,COMMON
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50024,HOLD_APPL_SUB_SYS_CD,E,MR,DQRT4,1,Unexpected Reference Data value,COMMON
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50025,CMPNT_MEASURE_TYPE,E,MR,DQRT4,1,Unexpected Reference Data value,COMMON
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50026,BUS_PROC_DT,E,MDT,DQRC1,1,BUS_PROC_DT should not be NULL for PMF else Error,PMF
DXC,HOLDING_COMPONENT_MEASURE,RUNTIME,50027,BUS_PROC_DT,E,MDT,DQRC1,1,BUS_PROC_DT  should not be NULL for CV15 else Error,CV15
