Upstr_Src_Sys,Table_Name,Appl_Src_Sys_Cd,Rule_Id,Column_Name,Error_Type,DQ_Error_Metric,Rule_Type_Cd,Down_Stream_Applcbility_Flag,Rule_Desc,Source_System
DXC,HOLDING_COMPONENT,RUNTIME,40001,HOLD_ACCT_NBR,E,MMF,DQRC1,1,HOLD_ACCT_NBR should not be NULL for PMF  else Error,PMF
DXC,HOLDING_COMPONENT,RUNTIME,40002,HOLD_ACCT_NBR_SUFF,E,MMF,DQRC1,1,HOLD_ACCT_NBR_SUFF should not be NULL for PMF  else Error,PMF
DXC,HOLDING_COMPONENT,RUNTIME,99999,HOLD_APPL_SYS_CD,E,MMF,DQRC1,1,HOLD_APPL_SYS_CD rule discontinued,COMMON
DXC,HOLDING_COMPONENT,RUNTIME,40004,CMPNT_SEQ_ID,E,MMF,DQRC1,1,CMPNT_SEQ_ID should not be NULL for PMF  else Error,PMF
DXC,HOLDING_COMPONENT,RUNTIME,40005,CMPNT_CD,E,MMF,DQRC1,1,CMPNT_CD should not be NULL for PMF  else Error,PMF
DXC,HOLDING_COMPONENT,RUNTIME,40006,CMPNT_CLASS,E,MMF,DQRC1,1,CMPNT_CLASS should not be NULL for PMF  else Error,PMF
DXC,HOLDING_COMPONENT,RUNTIME,40007,CMPNT_PLAN_CD,E,MMF,DQRC1,1,CMPNT_PLAN_CD should not be NULL for PMF  else Error,PMF
DXC,HOLDING_COMPONENT,RUNTIME,40008,BUS_PROC_DT,E,MMF,DQRC1,1,BUS_PROC_DT should not be NULL for PMF  else Error,PMF
DXC,HOLDING_COMPONENT,RUNTIME,40009,HOLD_ACCT_NBR,E,MMF,DQRC1,1,HOLD_ACCT_NBR should not be NULL for CV15  else Error,CV15
DXC,HOLDING_COMPONENT,RUNTIME,40010,HOLD_ACCT_NBR_SUFF,E,MMF,DQRC1,1,HOLD_ACCT_NBR_SUFF should not be NULL for CV15  else Error(Not Applicable As per 9.1 version doc),CV15
DXC,HOLDING_COMPONENT,RUNTIME,40011,HOLD_APPL_SYS_CD,E,MMF,DQRC1,1,HOLD_APPL_SYS_CD should not be NULL else Error,COMMON
DXC,HOLDING_COMPONENT,RUNTIME,40012,CMPNT_SEQ_ID,E,MMF,DQRC1,1,CMPNT_SEQ_ID should not be NULL for CV15  else Error,CV15
DXC,HOLDING_COMPONENT,RUNTIME,40013,CMPNT_CD,E,MMF,DQRC1,1,CMPNT_CD should not be NULL for CV15  else Error,CV15
DXC,HOLDING_COMPONENT,RUNTIME,40014,CMPNT_CLASS,E,MMF,DQRC1,1,CMPNT_CLASS should not be NULL for CV15  else Error,CV15
DXC,HOLDING_COMPONENT,RUNTIME,40015,CMPNT_ISS_DT,E,MDT,DQRC2 ,1,CMPNT_ISS_DT should have valid date format  for PMF  else Error,PMF
DXC,HOLDING_COMPONENT,RUNTIME,40016,CMPNT_EFF_DT,E,MDT,DQRC2 ,1,CMPNT_EFF_DT should have valid date format  for PMF  else Error,PMF
DXC,HOLDING_COMPONENT,RUNTIME,40017,CMPNT_TERM_DT,E,MDT,DQRC2 ,1,CMPNT_TERM_DT should have valid date format  for PMF  else Error,PMF
DXC,HOLDING_COMPONENT,RUNTIME,40018,BUS_PROC_DT,E,MDT,DQRC2 ,1,BUS_PROC_DT should have valid date format  for PMF  else Error,PMF
DXC,HOLDING_COMPONENT,RUNTIME,40019,CMPNT_ISS_DT,E,MDT,DQRC2 ,1,CMPNT_ISS_DT should have valid date format  for CV15  else Error,CV15
DXC,HOLDING_COMPONENT,RUNTIME,40020,CMPNT_EFF_DT,E,MDT,DQRC2 ,1,CMPNT_EFF_DT should have valid date format  for CV15  else Error,CV15
DXC,HOLDING_COMPONENT,RUNTIME,40021,CMPNT_TERM_DT,E,MDT,DQRC2 ,1,CMPNT_TERM_DT should have valid date format  for CV15  else Error,CV15
DXC,HOLDING_COMPONENT,RUNTIME,40022,BUS_PROC_DT,E,MDT,DQRC2 ,1,BUS_PROC_DT should have valid date format  for CV15  else Error,CV15
DXC,HOLDING_COMPONENT,RUNTIME,40023,CMPNT_SEQ_ID,E,MV,DQRC3,1,CMPNT_SEQ_ID should be a valid Integer value for PMF else Error,PMF
DXC,HOLDING_COMPONENT,RUNTIME,40024,CMPNT_SEQ_ID,E,MV,DQRC3,1,CMPNT_SEQ_ID should be a valid Integer value for CV15 else Error,CV15
DXC,HOLDING_COMPONENT,RUNTIME,40025,PK,E,MI,DQRT1,1,There should not be duplicate records,COMMON
DXC,HOLDING_COMPONENT,RUNTIME,40026,RI,E,MI,DQRT2,1,There should not be Orphan records,COMMON
DXC,HOLDING_COMPONENT,RUNTIME,40027,PTE,E,MI,DQRT3,1,There should not be Parent Error,COMMON
DXC,HOLDING_COMPONENT,RUNTIME,40028,HOLD_APPL_SYS_CD,E,MR,DQRT4,1,Unexpected Reference Data value,COMMON
DXC,HOLDING_COMPONENT,RUNTIME,40029,HOLD_APPL_SUB_SYS_CD,E,MR,DQRT4,1,Unexpected Reference Data value,COMMON
DXC,HOLDING_COMPONENT,RUNTIME,40030,CMPNT_CD,E,MR,DQRT4,1,Unexpected Reference Data value,COMMON
DXC,HOLDING_COMPONENT,RUNTIME,40031,CMPNT_VERSION_CD,E,MR,DQRT4,1,Unexpected Reference Data value,COMMON
DXC,HOLDING_COMPONENT,RUNTIME,40032,CMPNT_CLASS,E,MR,DQRT4,1,Unexpected Reference Data value,COMMON
DXC,HOLDING_COMPONENT,RUNTIME,40033,CMPNT_PLAN_CD,E,MR,DQRT4,1,Unexpected Reference Data value,COMMON
DXC,HOLDING_COMPONENT,RUNTIME,40034,CMPNT_STAT_CD,E,MR,DQRT4,1,Unexpected Reference Data value,COMMON
