Upstr_Src_Sys,Table_Name,Appl_Src_Sys_Cd,Rule_Id,Column_Name,Error_Type,DQ_Error_Metric,Rule_Type_Cd,Down_Stream_Applcbility_Flag,Rule_Desc,Source_System
DXC,HOLDING_INV_VEH,RUNTIME,60001,HOLD_ACCT_NBR,E,MMF,DQRC1,1,HOLD_ACCT_NBR should not be NULL for PMF else Error,PMF
DXC,HOLDING_INV_VEH,RUNTIME,60002,HOLD_ACCT_NBR_SUFF,E,MMF,DQRC1,1,HOLD_ACCT_NBR_SUFF should not be NULL for PMF else Error,PMF
DXC,HOLDING_INV_VEH,RUNTIME,99999,HOLD_APPL_SYS_CD,E,MMF,DQRC1,1,HOLD_APPL_SYS_CD rule discontinued,COMMON
DXC,HOLDING_INV_VEH,RUNTIME,60004,EFA_FND_ID,E,MMF,DQRC1,1,EFA_FND_ID should not be NULL for PMF else Error,PMF
DXC,HOLDING_INV_VEH,RUNTIME,60005,FUND_TYP,E,MMF,DQRC1,1,FUND_TYP should not be NULL for PMF else Error,PMF
DXC,HOLDING_INV_VEH,RUNTIME,60006,FUND_VALUE_AMT,E,MMF,DQRC1,1,FUND_VALUE_AMT should not be NULL for PMF else Error,PMF
DXC,HOLDING_INV_VEH,RUNTIME,60007,HOLD_ACCT_NBR,E,MMF,DQRC1,1,HOLD_ACCT_NBR should not be NULL for CV15 else Error,CV15
DXC,HOLDING_INV_VEH,RUNTIME,60008,HOLD_APPL_SYS_CD,E,MMF,DQRC1,1,HOLD_APPL_SYS_CD should not be NULL else Error,COMMON
DXC,HOLDING_INV_VEH,RUNTIME,60009,EFA_FND_ID,E,MMF,DQRC1,1,EFA_FND_ID should not be NULL for CV15 else Error,CV15
DXC,HOLDING_INV_VEH,RUNTIME,60010,FUND_TYP,E,MMF,DQRC1,1,FUND_TYP should not be NULL for CV15 else Error,CV15
DXC,HOLDING_INV_VEH,RUNTIME,60011,FUND_VALUE_AMT,E,MMF,DQRC1,1,FUND_VALUE_AMT should not be NULL for CV15 else Error,CV15
DXC,HOLDING_INV_VEH,RUNTIME,60012,FUND_OPEN_DT,E,MDT,DQRC2 ,1,FUND_OPEN_DT should have valid date format  for PMF else Error,PMF
DXC,HOLDING_INV_VEH,RUNTIME,60013,FUND_OPEN_DT,E,MDT,DQRC2 ,1,FUND_OPEN_DT should have valid date format  for CV15 else Error,CV15
DXC,HOLDING_INV_VEH,RUNTIME,60014,FUT_ALLOC_PCT,E,MV,DQRC4 ,1,FUT_ALLOC_PCT should be a valid Decimal value for PMF else Error,PMF
DXC,HOLDING_INV_VEH,RUNTIME,60015,FUND_NBR_UNITS,E,MV,DQRC4,1,FUND_NBR_UNITS should be a valid number value for PMF else Error,PMF
DXC,HOLDING_INV_VEH,RUNTIME,60016,FUND_VALUE_AMT,E,MV,DQRC4 ,1,FUND_VALUE_AMT should be a valid Decimal value for PMF else Error,PMF
DXC,HOLDING_INV_VEH,RUNTIME,60017,FUND_UNIT_PRICE_AMT,E,MV,DQRC4 ,1,FUND_UNIT_PRICE_AMT should be a valid Decimal value for PMF else Error,PMF
DXC,HOLDING_INV_VEH,RUNTIME,60018,GUAR_RATE,E,MV,DQRC4 ,1,GUAR_RATE should be a valid Decimal value for PMF else Error,PMF
DXC,HOLDING_INV_VEH,RUNTIME,60019,CURR_RATE,E,MV,DQRC4 ,1,CURR_RATE should be a valid Decimal value for PMF else Error,PMF
