lkp_seq,lov_group_id,field_name,lkp_value,return_cd,src_sys_cd,data_element_id
1,LOV2,HOLD_APPL_SYS_CD,CV15,0,CV15,5
2,LOV2,HOLD_APPL_SYS_CD,PMF,0,PMF,5
3,LOV2,HOLD_APPL_SYS_CD,IDST,0,IDST,5
4,LOV7,HOLD_CLASS_CD,A1,0,CV15,7
5,LOV7,HOLD_CLASS_CD,A2,0,CV15,7
6,LOV7,HOLD_CLASS_CD,A1,0,PMF,7
7,LOV7,HOLD_CLASS_CD,A2,0,PMF,7
8,LOV7,HOLD_CLASS_CD,E,0,PMF,7
9,LOV7,HOLD_CLASS_CD,L,0,PMF,7
10,LOV7,HOLD_CLASS_CD,T,0,PMF,7
8,LOV7,HOLD_CLASS_CD,E,0,IDST,7
9,LOV7,HOLD_CLASS_CD,L,0,IDST,7
11,LOV8,HOLD_TYPE_CD,I,0,CV15,9
12,LOV8,HOLD_TYPE_CD,I,0,PMF,9
12,LOV8,HOLD_TYPE_CD,I,0,IDST,9
13,LOV9,HOLD_STAT_CO_CD,MET,0,CV15,10
14,LOV9,HOLD_STAT_CO_CD,BLI,0,CV15,10
15,LOV9,HOLD_STAT_CO_CD,BNE,0,CV15,10
16,LOV9,HOLD_STAT_CO_CD,BCP,0,CV15,10
17,LOV9,HOLD_STAT_CO_CD,BSN,0,CV15,10
18,LOV9,HOLD_STAT_CO_CD,MET,0,PMF,10
18,LOV9,HOLD_STAT_CO_CD,MET,0,IDST,10
19,LOV10,HOLD_IRS_MARKET_TYPE,0J,0,CV15,11
20,LOV10,HOLD_IRS_MARKET_TYPE,0L,0,CV15,11
21,LOV10,HOLD_IRS_MARKET_TYPE,07,0,CV15,11
22,LOV10,HOLD_IRS_MARKET_TYPE,04,0,CV15,11
23,LOV10,HOLD_IRS_MARKET_TYPE,00,0,CV15,11
24,LOV10,HOLD_IRS_MARKET_TYPE,02,0,CV15,11
25,LOV10,HOLD_IRS_MARKET_TYPE,01,0,CV15,11
26,LOV10,HOLD_IRS_MARKET_TYPE,06,0,CV15,11
27,LOV10,HOLD_IRS_MARKET_TYPE,03,0,CV15,11
28,LOV10,HOLD_IRS_MARKET_TYPE,09,0,CV15,11
29,LOV10,HOLD_IRS_MARKET_TYPE,0I,0,CV15,11
30,LOV10,HOLD_IRS_MARKET_TYPE,05,0,CV15,11
31,LOV11,HOLD_IRS_QUAL_TYPE,Q,0,CV15,12
33,LOV11,HOLD_IRS_QUAL_TYPE,N,0,CV15,12
34,LOV11,HOLD_IRS_QUAL_TYPE,Q,0,PMF,12
36,LOV11,HOLD_IRS_QUAL_TYPE,N,0,PMF,12
36,LOV11,HOLD_IRS_QUAL_TYPE,N,0,IDST,12
37,LOV14,HOLD_ISS_ST,AK,0,CV15,15
38,LOV14,HOLD_ISS_ST,AL,0,CV15,15
39,LOV14,HOLD_ISS_ST,AR,0,CV15,15
40,LOV14,HOLD_ISS_ST,AZ,0,CV15,15
41,LOV14,HOLD_ISS_ST,CA,0,CV15,15
42,LOV14,HOLD_ISS_ST,CO,0,CV15,15
43,LOV14,HOLD_ISS_ST,CT,0,CV15,15
44,LOV14,HOLD_ISS_ST,DC,0,CV15,15
45,LOV14,HOLD_ISS_ST,DE,0,CV15,15
46,LOV14,HOLD_ISS_ST,FL,0,CV15,15
47,LOV14,HOLD_ISS_ST,GA,0,CV15,15
48,LOV14,HOLD_ISS_ST,HI,0,CV15,15
49,LOV14,HOLD_ISS_ST,IA,0,CV15,15
50,LOV14,HOLD_ISS_ST,ID,0,CV15,15
51,LOV14,HOLD_ISS_ST,IL,0,CV15,15
52,LOV14,HOLD_ISS_ST,IN,0,CV15,15
53,LOV14,HOLD_ISS_ST,KS,0,CV15,15
54,LOV14,HOLD_ISS_ST,KY,0,CV15,15
55,LOV14,HOLD_ISS_ST,LA,0,CV15,15
56,LOV14,HOLD_ISS_ST,MA,0,CV15,15
57,LOV14,HOLD_ISS_ST,MD,0,CV15,15
58,LOV14,HOLD_ISS_ST,ME,0,CV15,15
59,LOV14,HOLD_ISS_ST,MI,0,CV15,15
60,LOV14,HOLD_ISS_ST,MN,0,CV15,15
61,LOV14,HOLD_ISS_ST,MO,0,CV15,15
62,LOV14,HOLD_ISS_ST,MS,0,CV15,15
63,LOV14,HOLD_ISS_ST,MT,0,CV15,15
64,LOV14,HOLD_ISS_ST,NC,0,CV15,15
65,LOV14,HOLD_ISS_ST,ND,0,CV15,15
66,LOV14,HOLD_ISS_ST,NE,0,CV15,15
67,LOV14,HOLD_ISS_ST,NH,0,CV15,15
68,LOV14,HOLD_ISS_ST,NJ,0,CV15,15
69,LOV14,HOLD_ISS_ST,NM,0,CV15,15
70,LOV14,HOLD_ISS_ST,NV,0,CV15,15
71,LOV14,HOLD_ISS_ST,NY,0,CV15,15
72,LOV14,HOLD_ISS_ST,OH,0,CV15,15
73,LOV14,HOLD_ISS_ST,OK,0,CV15,15
74,LOV14,HOLD_ISS_ST,OR,0,CV15,15
75,LOV14,HOLD_ISS_ST,PA,0,CV15,15
76,LOV14,HOLD_ISS_ST,RI,0,CV15,15
77,LOV14,HOLD_ISS_ST,SC,0,CV15,15
78,LOV14,HOLD_ISS_ST,SD,0,CV15,15
79,LOV14,HOLD_ISS_ST,TN,0,CV15,15
80,LOV14,HOLD_ISS_ST,TX,0,CV15,15
81,LOV14,HOLD_ISS_ST,UT,0,CV15,15
82,LOV14,HOLD_ISS_ST,VA,0,CV15,15
83,LOV14,HOLD_ISS_ST,VT,0,CV15,15
84,LOV14,HOLD_ISS_ST,WA,0,CV15,15
85,LOV14,HOLD_ISS_ST,WI,0,CV15,15
86,LOV14,HOLD_ISS_ST,WV,0,CV15,15
87,LOV14,HOLD_ISS_ST,WY,0,CV15,15
88,LOV14,HOLD_ISS_ST,AS,0,CV15,15
88,LOV14,HOLD_ISS_ST,GU,0,CV15,15
90,LOV14,HOLD_ISS_ST,MP,0,CV15,15
91,LOV14,HOLD_ISS_ST,PR,0,CV15,15
90,LOV14,HOLD_ISS_ST,VI,0,CV15,15
